ASIN,Page,RevNmb,Title,User,Rating,VPS,RDate,HVotes,CommentsCount,ReviewText
B07BTS2KWK,1,1,Great for amateur digital artist,Emily,5,Yes,30-Jul-18,798,9,"I've had this iPad for just a few weeks but I love it. It arrived brand new in original packaging with all the standard accessories. I bought the iPad for the sole purpose of using it to start getting into digital art. When I say sole purpose, I mean I only use this iPad for ProCreate. I never have the internet on or use it for videos since I use my MacAir or iPhone for those things. I purchased the Apple Pencil and it works wonderfully on this iPad. For anyone who is interested in this more budget iPad for digital art or taking notes, I would recommend it.

I bought a case for the iPad and it isn't as light as you might think. It has some weight to it. So if you are someone who really needs a REALLY lightweight tablet, this might not be great.

The battery life so far is amazing. But, like I said before I don't have the internet on or any other app running besides ProCreate when I am using it.

Maybe in two years this little guy won't be running so great, but for right now I am so pleased with my purchase. The one thing I might regret is not buying the one with more GB of memory.

If you are looking into breaking into digital art, or would like to start doing digital illustrations, I would recommend this. However, for someone who has a good grasp of digital art or has used a previous tablet, consider the size of this tablet. If you need a lot of space to draw, this screen size might be too small and you should consider the 10 or 12 inch ipad Pro line. I have small hands and haven't ever used a tablet to draw before so it works great for me."
B07BTS2KWK,1,2,"Good value and performance,",Jacqueline DeMaio,5,Yes,12-Jul-18,455,4,"I am really enjoying my new iPad, and I’m so glad I paid a little extra for the extra storage (128GB) so I never again have to second-guess downloading something I really want due to space concerns, Also love the color - somewhere between Apple’s rose gold and regular gold. I do a lot or reading on my device, and the white border is easier on my eyes for that."
B07BTS2KWK,1,3,crispiest screen ever,T Rays,5,Yes,13-Aug-18,324,3,"The clarity of the pictures and everything on my ipad is very very impressive. I have an iphone and for other purposes use dell and asus window computers. The size is great. Some things require some more research, like how to get extensions added to safari, but thanks to the internet questions like these are quickly resolved.
If you like clear pictures and text and easy navigation, then the iPad is for you. I noticed that the battery drains a lot slower than on my iPhone, but then it seems to take a while to charge once it is drained. Plugging it in at night should always give me an ipad ready to go.
So happy with this purchase."
B07BTS2KWK,1,4,Continues to underwhelm,Josiah Brush,3,Yes,13-Nov-18,263,11,"I bought this to replace an iPad Air which was stolen. The Air was 4-6 years old so I thought this would be a big improvement. Nope. Same screen size, same WiFi connectivity, Bluetooth, interface. The only thing new was the touchpad ID system, which I do appreciate. The voice-to text feature was less functional than my moto x4, which costs 1/3 of this iPad.

I’ve had this notebook for four months and it continues to underwhelm. It’s gotten to the point where I mostly use it to read books or watch videos."
B07BTS2KWK,1,5,Awesome tablet! A must have for me and what ...,pcc,5,Yes,24-Jul-18,247,1,Awesome tablet! A must have for me and what I have been using it for.....Apple is nice and I use android a lot so… This was a big unknown for me… buy one you won’t regret it…you may want to grab one with a little more memory if you need that but for me and my wife 32 gigs was more than enough…
B07BTS2KWK,1,6,Difficult to open using your wifi code. Speakers on the bottom and not easy to hear.,Old seabass,4,Yes,08-Nov-18,220,12,"The IPad came factory sealed in a white box. I had some issues. You are allowed to try and enter your wifi security code up to ten times. Each time I had entered the correct code to unlock and use wifi, a message had said incorrectly. I did not expect issues or problems for the cash spent. I called up my cable provider, they came to the house, and reset the modem and router. Mind you, the wifi code was correct, and the modem and router were working just fine allowing network access. After some hair pulling, I turned on the iPad and was able to connect, and set up said iPad. Let this be a lesson to those that expect a problem-free product from Apple. If you cannot set up using your wifi code, turn off the modem and router for ten minutes, then turn it on, then turn on the pad. If this won't work, call cable. If that won't work, box it and send it back. You should not have to go to iTunes because you had tried ten times to unlock your iPad. Nothing is worth that trouble, and frankly, even once restored to factory settings, the same issue will persist. Otherwise, product arrived in great condition from the seller, well packed and after some struggle worked fine. Had this issue continued, seller would have this iPad right back special delivery. One star off for the hassle."
B07BTS2KWK,1,7,"Remember, this is only 32 GB!",C.Hawkins,5,Yes,23-Aug-18,230,5,I’ve had iPads since the very first one. They just keep getting better. This is no exception. I’m looking forward to being able to use the new Apple Pencil with this iPad. Info says it’s compatible with this model. My only regret is that they dropped the 64GB version. But 32GB is sufficient for me. I’m learning some options to reduce what is actually stored here. But it is a joy.
B07BTS2KWK,1,8,Great product!,Amazon Customer,5,Yes,20-Jul-18,177,0,Very happy with my purchase :D I tested an iPad Pro and didn't see a huge difference. I use it mainly for digital art. Couldn't be happier.
B07BTS2KWK,1,9,Extremely fragile,Siyu,1,Yes,27-Jan-19,143,18,"I bought this iPad as Christmas gift for myself and together with the apple pencil I was planning on using them for a more productive semester at school. One day I put this iPad on the table(about 1.65 foot tall) and it dropped shortly after I left because of imbalance. I didn't even think what was about to happen as I used my iPad Air(first Generation) for years and it dropped multiple times from place much higher than this table. When I went check my iPad, I was shocked, the entire screen was broken, the tiny glass pieces falling off and cut my finger. I couldn't believe this screen being this fragile, if this wasn't me but a young kid I couldn't able to imagine how bad things could turn to. Apple shouldn't allow its product to has screen this fragile, it's definitely a safety concerns for all its consumers. I called Apple and hope they can help me, the people whom answered my phone call keep telling me there is nothing they can do, and my only option is to replace my screen for 249.99 (yes, exactly how much I got this iPad). This whole thing is so ridiculous, I've never seen a electronic product being this fragile. For all of you thinking about buying this product, please make sure you got yourself a case, for your own safety."
B07BTS2KWK,1,10,It's an Apple product,Amazon Customer,4,Yes,17-Oct-18,105,3,"I bought this for my wife as some game updates for it meant she could no longer play some of the games with her friends so she had to move from iPad 3 to iPad 6.
It seems she finds the iPad easier to use than an Android device - beats me why, I've always found Android to be simpler and more powerful to control. I guess that's it, really, Android is makes it easier to get more from a device while Apple maintains it's 'walled garden' approach.
As for the iPad itself; it works and that's about all I can say for it.
Moving data from my wife's old iPad to the new one proved to take over two exhausting, infuriating days - for me - she can't manipulate the thing at all. I hate Apple products and think the world would be better without them, but there it is.
I've given this device 4 starts based on my wife's rating, if it was mine, I would give it a one star, simply because it worked when I turned it on.
Full marks, however, to the suppliers, Laptops Inc, for a first rate service."
